Table 1,,,,,,
,,,,,,
,1,1/2/2017,2.3,,,
,1,1/3/2017,2.2,,3.2,
,1,1/4/2017,1.1,,,
,1,1/5/2017,,,,
,1,1/6/2017,,,,
,1,1/7/2017,3/1/2122,,,
,1,1/8/2017,,,,
,,1/9/2017,,,,
,,1/10/2017,,,,
